wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio
2025-11-29 14:34:47	86.987	1.496	1	0.000	0	3	1	0.578	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:47	87.988	1.527	1	0.000	0	3	1	0.667	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:47	88.988	1.701	1	0.000	0	3	1	0.539	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:48	89.988	1.321	1	0.000	0	3	1	0.833	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:48	90.988	0.591	1	0.000	0	3	1	0.661	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:48	91.989	0.734	1	0.000	0	3	1	0.661	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:49	92.989	0.831	1	0.000	0	3	1	0.539	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:49	93.989	0.945	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:49	94.989	0.945	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:50	95.989	1.139	1	0.000	0	3	1	0.517	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:50	96.990	1.250	1	0.000	0	3	1	0.494	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:50	97.990	1.250	1	0.000	0	3	1	0.478	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:51	98.990	1.218	1	0.000	0	3	1	1.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:51	99.990	0.296	1	0.000	0	3	1	1.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:51	100.990	0.288	1	0.000	0	3	1	0.911	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:52	101.991	0.279	1	0.000	0	3	1	0.944	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:52	102.991	0.312	1	0.000	0	3	1	0.833	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:52	103.991	0.233	1	0.000	0	3	1	0.992	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:53	104.991	0.357	1	0.000	0	3	1	0.517	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:53	105.992	0.359	1	0.000	0	3	1	1.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:53	106.992	0.000	1	0.000	0	3	1	1.000	0.000	0.000	0.000	0.000	0.000
wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio	hazard_avg	aoe_ratio
2025-11-29 18:54:56	0.983	13.850	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
